Altium Designer Pick and Place Locations
Z:\mse_thesis\sensornode\sensornode_v2.0.X-HW\project_output\jlcpcb_assembly\Pick Place for sensornode_v2.csv

========================================================================================================================
File Design Information:

Date:       17.04.24
Time:       23:00
Revision:   4cb8d49cdc6ec0e062713f61e52dc7ba94cbcdff
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R215","DNP","TopLayer","0805_S","7188.981","175.233","90","Normaler Widerstand"
"R214","DNP","TopLayer","0805_S","7425.201","175.233","90","Normaler Widerstand"
"Y200","SC32S-7PF20PPM","TopLayer","SC32S7PF20PPM","7818.902","220.473","0","Crystal"
"U200","PCF85063ATL/1,118","TopLayer","10-DFN(2.6X2.6)","7228.351","220.473","0","Real Time Clock (RTC) IC Clock/Calendar - IÂ²C, 2-Wire Serial 10-XFDFN Exposed Pad"
"TP201","TP_SMD","TopLayer","TP+245X165","7582.682","259.843","0","Testpoint"
"C202","Capacitor 0402","TopLayer","0402","7405.831","259.843","0","Capacitor 0402"
"C210","100nF","TopLayer","0402","8015.753","240.473","90","Capacitor 0402"
"C209","100nF","TopLayer","0402","8251.974","240.473","90","Capacitor 0402"
"R807","68","TopLayer","0805_S","7188.981","214.603","90","Normaler Widerstand"
"R806","TBD","TopLayer","0805_S","7700.792","214.603","90","Normaler Widerstand"
"R805","TBD","TopLayer","0805_S","8212.603","214.603","90","Normaler Widerstand"
"R804","10k","TopLayer","0805_S","8960.635","214.603","90","Normaler Widerstand"
"R803","10k","TopLayer","0805_S","9472.447","214.603","90","Normaler Widerstand"
"R802","10k","TopLayer","0805_S","9984.258","214.603","90","Normaler Widerstand"
"J804","HEADER_2x1_TD","TopLayer","HEADER_2_RM_2.54","8724.415","249.213","0",""
"J803","HEADER_2x1_TD","TopLayer","HEADER_2_RM_2.54","9236.226","249.213","0",""
"J802","HEADER_2x1_TD","TopLayer","HEADER_2_RM_2.54","9708.667","249.213","0",""
"D802","White","TopLayer","0805_S_DIODE","7464.572","253.973","90",""
"D801","Orange","TopLayer","0805_S_DIODE","7976.383","253.973","90",""
"D800","Green","TopLayer","0805_S_DIODE","8448.824","253.973","90",""
"B200","Battery","TopLayer","HEADER_2_RM_2.54","7228.351","642.914","0",""
"D201","PMEG2010ER","TopLayer","SODFL3517X110N","1362.402","3740.157","180",""
"R210","10k","TopLayer","0805_S","7188.981","175.233","90","Normaler Widerstand"
"U205","IC_BQ25172DSGR","TopLayer","IC_BQ25172DSGR","905.512","3836.614","0","Charge IC. 0.8-A, one- to six-cell NiMH stand-alone linear charger in a QFN package"
"TP200","TP_SMD","TopLayer","TP+245X165","1062.992","4173.228","0","Testpoint"
"R200","TBD","TopLayer","0805_S","675.162","3543.307","180","Normaler Widerstand"
"R202","100k","TopLayer","0805_S","708.661","3824.768","90","Normaler Widerstand"
"R211","TBD","TopLayer","0805_S","1062.992","3706.657","270","Normaler Widerstand"
"R208","TBD","TopLayer","0805_S","1332.713","3503.937","180","Normaler Widerstand"
"R209","TBD","TopLayer","0805_S","1068.862","3503.937","0","Normaler Widerstand"
"Q200","DMP4065S-7","TopLayer","SOT-23_-_FET","1336.713","3898.268","0","MOSFET"
"D200","TBD","TopLayer","0805_S_DIODE","874.051","3543.307","0",""
"C201","1µF","TopLayer","0402","1003.622","3937.008","0","Capacitor 0402"
